שמות מלאים של כל היוצרים (עברית),שם הסרט (עברית),"אורך הסרט (בפורמט 00:00) (אפשר לרשום אורך משוער, במידה ולא ידוע האורך המדוייק )",מסלול,טכניקה,הקרנה,הקרנה באולם 222 בקומה 8:,סידור,שם הסרט (אנגלית)
רותם חלפון,על ענקים וחיות אחרות ,5:22,אנימציה,קלאסית,בחדר 513, אנימציה 1,6,A Tale on Giants and Other Animals
עדי שחר ,עשר חרבות ,5:08,אנימציה,קלאסית,בחדר 508, אנימציה 3,6,ten of swords
"הילה וקראט, גלעד פפר",בארגזים,6:20,אנימציה,סטופ | קלאסית,בחדר 513,10:00 |  14:00  |  אנימציה 1,3,In Boxes
מאי גרוסמן,נול,7:51,אנימציה,קלאסית,"ברחבה, קומה 5",10:00 |  14:00  |  אנימציה 1,1,Nool
"מעיין בידץ, נמרוד חביליו, הודיה גורדון","הגולם ח""י",8:05,אנימציה,סטופ,בחדר 508,10:00 |  14:00  |  אנימציה 1,2,The Golem Lives
קמע זמורה,שמשות של לפעמים,4:10,אנימציה,טכניקה משולבת,בחדר 508,10:00 |  14:00  |  אנימציה 1,4,-
רז מרחב,סימביוזה,8:24,אנימציה,סטופ,בחדר 508,10:00 |  14:00  |  אנימציה 1,8,Symbiosis
רננה פלמור,כלב כדור פארק,3:27,אנימציה,תלת,בחדר 512 א',10:00 |  14:00  |  אנימציה 1,3,Dog Ball Park
רתם מעודד,לימון ירוק,4:25,אנימציה,תלת,"בפינת ישיבה, קומה 5",10:00 |  14:00  |  אנימציה 1,7,Green Lemon
שושן כהן,הרג הנחש,4:10,אנימציה,תלת,בחדר 512 א',10:00 |  14:00  |  אנימציה 1,5,kill the snake
"בר וקנין, תמר שרביט, מתן לוי",הבניין ברחוב האצ''ל 9,9:05,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,1,The building on Ha'Ezel 9 
דפנה ענבר,SZZZ,6:07,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,5,SZZZ
זהר הס ,שבור,4:15,אנימציה,תלת,בחדר 508,11:00  |  16:00  |  אנימציה 2,4,Broken
טינה יעקוב,חור שלם,6:00,אנימציה,טכניקה משולבת,בחדר 512 א',11:00  |  16:00  |  אנימציה 2,3,Sea Me
עמיחי מזוז,בשביל זה חברים הם 4,5:13,אנימציה,תלת,-,11:00  |  16:00  |  אנימציה 2,2,thats why friends are 4
רותם דש,SUBLIME,5:02,אנימציה,תלת,בחדר 512 א',11:00  |  16:00  |  אנימציה 2,6,SUBLIME
שחר בלפור,איבוד,7:22,אנימציה,קלאסית,בחדר 513,11:00  |  16:00  |  אנימציה 2,7,Unfound
תום קוריטו בלומן,אש כוחותינו,5:41,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,8,Friendly Fire
אברהים אערג,מעל השולחן,7:15,אנימציה,קלאסית,בחדר 508,11:00  |  16:00  |  אנימציה 2,5,OVER THE BOARD
"אור עמית, איה יוחאי",הספירה לאחור החלה,5:17,אנימציה,קלאסית,בחדר 513,11:00  |  16:00  |  אנימציה 2,7,The Final Countdown
"טל דרמון, אוריאן מלמד",עומד לרדת גשם,10:12,אנימציה,קלאסית,בחדר 517,13:00  |  17:00  |  אנימציה 3,1,Sky's About to Rain
טלי דיטינסקי,solace,3:18,אנימציה,תלת,בחדר 513,13:00  |  17:00  |  אנימציה 3,2,solace
"יהונתן רייך, אסיל עלי סאלח",המקרה המוזר של הפיתולים האדומים,7:43,אנימציה,קלאסית,בחדר 508,13:00  |  17:00  |  אנימציה 3,8,The Curious Case of the Crimson Curves
ליאור דורפמן,הדברה,4:30,אנימציה,קלאסית,בחדר 508,13:00  |  17:00  |  אנימציה 3,3,Pest Control
"שחר אגרנט, רייצ'ל זילברברג",את בסדר.,5:53,אנימציה,תלת | קלאסית | VR,בחדר 520 ב' ,13:00  |  17:00  |  אנימציה 3,4,you're OK.
אביב נחשון,"א""ש לילה",8:00,וידאו,,בחדר 506,12:00  |  וידאו 1,1,Night Training
גל שיר,OX,11:55,וידאו,,בחדר 503 א',12:00  |  וידאו 1,3,OX
לירון סייג,מעבר תת-קרקעי,5:55,וידאו,,בחדר 511,12:00  |  וידאו 1,2,Subways
עומר דולב,פלורה,13:38,וידאו,,בחדר 509 ב',12:00  |  וידאו 1,5,Flora
שיר חיים,מהי עוד שנה?,12:00,וידאו,,בחדר 308,12:00  |  וידאו 1,4,What's Another Year?
אלי אור,לוח-אב,11:00,וידאו,,בחדר 505,15:00  |  וידאו 2,3,Fatherboard
דאניה סעאבנה,בלי חלון,7:00,אנימציה,וידאו,בחדר 520 א',15:00  |  וידאו 2,4,WITHOUT WINDOW
עדן מונט מולדבסקי,אבא אני יכולה גם לצלם?,15:42,וידאו,,בחדר 308,15:00  |  וידאו 2,3,Daddy can I also film?
עמרי מורין,מכונת זמן,12:38,וידאו,,בחדר 507,15:00  |  וידאו 2,1,Time Machine
שלו לוי,השורש,9:57,וידאו,,בחדר 511,15:00  |  וידאו 2,6,The Root
מיה אלה,תקופה משונה להיות בן אדם,,וידאו,,בחדר 510,18:00  |  וידאו 3,1,
עדית רוזנברג,צאו החוצה,23:57,וידאו,,בחדר 520 א',18:00  |  וידאו 3,2,-
אורו צרפתי,רעש לבן,,אנימציה,מיצג,בחדר 509 א',,,White Noise
גל צדוק,התפוז שלי אבד בפרדס,,וידאו,מיצג,בחדר 512 ב',,,
הילה מוצפי,העוללה,-,וידאו,מיצג,בחדר 326,,,Enfant Terrible
יובל קרול,לימים רעים,7:11,אנימציה,קלאסית | אפליקצית סלולר,במסדרון 517,,-,For Bad Days
ליה ורשקוב,שירת העצמות,,וידאו,מיצג,בחדר 310 ב',,,
מרים כגן,חלל המתנה,6:06,אנימציה,סטופ,בקומה 3 מול המעלית,,-,waiting space
נועה בר-אל,"Fractions of memories, my own or someone else's",,וידאו,מיצג,בחדר 503 ב',,,
נועם סבג דר,תחושת בטן,,אנימציה,מיצג,בחדר 306,,,Cyclogical
עידו הגין,הילדים זורקים את הכדור מהמגרש ליד,,וידאו,מיצג,בחדר 310 א',,,
קרן אלה,האיש,,וידאו,מיצג,בחדר 504,,,The Man