authors,hebMovieName,length,type,tecnique,screenRoom,group,order,imageName
מאי גרוסמן,נול,7:54,אנימציה,קלאסית,"ברחבה, קומה 5",10:00 |  14:00  |  אנימציה 1,1,nool.png
"מעיין בידץ, נמרוד חביליו, הודיה גורדון","הגולם ח""י",8:30,אנימציה,סטופ,בחדר 508,10:00 |  14:00  |  אנימציה 1,2,golem.png
רננה פלמור,כלב כדור פארק,3:32,אנימציה,תלת,בחדר 512 א',10:00 |  14:00  |  אנימציה 1,3,dog.png
"הילה וקראט, גלעד פפר",בארגזים,6:22,אנימציה,סטופ | קלאסית,בחדר 513,10:00 |  14:00  |  אנימציה 1,4,boxes.png
קמע זמורה,שמשות של לפעמים,4:10,אנימציה,טכניקה משולבת,בחדר 508,10:00 |  14:00  |  אנימציה 1,5,kamea.png
שושן כהן,הרג הנחש,3:54,אנימציה,תלת,בחדר 512 א',10:00 |  14:00  |  אנימציה 1,6,shushan.png
רתם מעודד,לימון ירוק,4:30,אנימציה,תלת,"בפינת ישיבה, קומה 5",10:00 |  14:00  |  אנימציה 1,7,meoded.png
אברהים אערג,מעל השולחן,7:16,אנימציה,קלאסית,בחדר 508,10:00 |  14:00  |  אנימציה 1,8,arg.png
רותם חלפון,על ענקים וחיות אחרות ,5:22,אנימציה,קלאסית,בחדר 513,10:00 |  14:00  |  אנימציה 1,9,together.png
"בר וקנין, תמר שרביט, מתן לוי",הבניין ברחוב האצ''ל 9,9:44,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,1,etzel.png
זהר הס ,שבור,4:24,אנימציה,תלת,בחדר 508,11:00  |  16:00  |  אנימציה 2,2,zohar.png
טינה יעקוב,חור שלם,6:24,אנימציה,טכניקה משולבת,בחדר 512 א',11:00  |  16:00  |  אנימציה 2,3,tina.png
עמיחי מזוז,בשביל זה חברים הם 4,5:13,אנימציה,תלת,-,11:00  |  16:00  |  אנימציה 2,4,mazuz.png
דפנה ענבר,SZZZ,6:07,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,5,szzz.png
תום קוריטו בלומן,אש כוחותינו,6:14,אנימציה,סטופ,בחדר 513,11:00  |  16:00  |  אנימציה 2,6,tom.png
רותם דש,SUBLIME,5:02,אנימציה,תלת,בחדר 512 א',11:00  |  16:00  |  אנימציה 2,7,dash.png
אזימה רחמילוב,אנחנו זבל,4:38,אנימציה,קלאסית,,11:00  |  16:00  |  אנימציה 2,8,azima.png
שחר בלפור,איבוד,7:48,אנימציה,קלאסית,בחדר 513,11:00  |  16:00  |  אנימציה 2,9,balfur.png
אביב נחשון,"א""ש לילה",8:00,וידאו,,בחדר 506,12:00  |  וידאו 1,1,aviv.png
לירון סייג,מעבר תת-קרקעי,5:55,וידאו,,בחדר 511,12:00  |  וידאו 1,2,liron.png
גל שיר,OX,11:55,וידאו,,בחדר 503 א',12:00  |  וידאו 1,3,ox.png
שיר חיים,מהי עוד שנה?,12:00,וידאו,,בחדר 308,12:00  |  וידאו 1,4,shir.png
עומר דולב,פלורה,13:38,וידאו,,בחדר 509 ב',12:00  |  וידאו 1,5,dolev.png
"טל דרמון, אוריאן מלמד",עומד לרדת גשם,10:12,אנימציה,קלאסית,בחדר 517,13:00  |  17:00  |  אנימציה 3,1,rain.png
טלי דיטינסקי,Solace,3:18,אנימציה,תלת,בחדר 513,13:00  |  17:00  |  אנימציה 3,2,solace.png
ליאור דורפמן,הדברה,4:28,אנימציה,קלאסית,בחדר 508,13:00  |  17:00  |  אנימציה 3,3,lior.png
"שחר אגרנט, רייצ'ל זילברברג",את בסדר.,5:55,אנימציה,תלת | קלאסית | VR,בחדר 520 ב' ,13:00  |  17:00  |  אנימציה 3,4,ok.png
רז מרחב,סימביוזה,8:50,אנימציה,סטופ,בחדר 508,13:00  |  17:00  |  אנימציה 3,5,raz.png
עדי שחר ,עשר חרבות ,5:09,אנימציה,קלאסית,בחדר 508,13:00  |  17:00  |  אנימציה 3,6,adi.png
"אור עמית, איה יוחאי",הספירה לאחור החלה,6:00,אנימציה,קלאסית,בחדר 513,13:00  |  17:00  |  אנימציה 3,7,final.png
"יהונתן רייך, אסיל עלי סאלח",המקרה המוזר של הפיתולים האדומים,7:43,אנימציה,קלאסית,בחדר 508,13:00  |  17:00  |  אנימציה 3,8,crimson.png
עמרי מורין,מכונת זמן,12:46,וידאו,,בחדר 507,15:00  |  וידאו 2,1,omri.png
אלי אור,לוח-אב,11:00,וידאו,,בחדר 505,15:00  |  וידאו 2,3,elior.png
עדן מונט מולדבסקי,אבא אני יכולה גם לצלם?,15:42,וידאו,,בחדר 308,15:00  |  וידאו 2,3,eden.png
דאניה סעאבנה,בלי חלון,7:11,אנימציה,וידאו,בחדר 520 א',15:00  |  וידאו 2,4,danya.png
שלו לוי,השורש,9:57,וידאו,,בחדר 511,15:00  |  וידאו 2,6,shalev.png
מיה אלה,תקופה משונה להיות בן אדם,30:38,וידאו,,בחדר 510,18:00  |  וידאו 3,1,mayaella.png
עדית רוזנברג,צאו החוצה,23:57,וידאו,,בחדר 520 א',18:00  |  וידאו 3,2,adit.png
יובל קרול,לימים רעים,7:11,אנימציה,קלאסית | אפליקצית סלולר,במסדרון 517,,-,krol.png
מרים כגן,חלל המתנה,6:06,אנימציה,סטופ,בקומה 3 מול המעלית,,-,cagan.png
אורו צרפתי,רעש לבן,,אנימציה,מיצג,בחדר 509 א',,,oru.png
גל צדוק,התפוז שלי אבד בפרדס,,וידאו,מיצג,בחדר 512 ב',,,galz.png
הילה מוצפי,העוללה,-,וידאו,מיצג,בחדר 326,,,hila.png
ליה ורשקוב,שירת העצמות,,וידאו,מיצג,בחדר 310 ב',,,lia.png
נועה בר-אל,"Fractions of memories, my own or someone else's",,וידאו,מיצג,בחדר 503 ב',,,noa.png
נועם סבג דר,תחושת בטן,,אנימציה,מיצג,בחדר 306,,,sabag.png
עידו הגין,הילדים זורקים את הכדור מהמגרש ליד,,וידאו,מיצג,בחדר 310 א',,,ido.png
קרן אלה,האיש,,וידאו,מיצג,בחדר 504,,,kerenella.png
